en man; a man ; known
en kvinna; a woman ; known
är; is ; known
en pojke; a boy ; known
en flicka; a girl ; known
jag; I ; known
han; he ; known
hon; she ; known
ett; one ; known
ett äpple; an apple ; known
och; and ; known
äter; eats ; known
dricker; drinks ; known
vatten; water ; known
mannen; the man ; known
kvinnan; the woman ; known
ett bröd; a bread ; known
vi; we ; known
läser; reads ; known
kvinnor; women ; known
en tidning; a newspaper ; known
de; they ; known
män; men ; known
flickor; girls ; known
pojkar; boys ; known
du; you ; known
en smörgås; a sandwich ; known
ris; rice ; known
ett barn; a child ; known
mjölk; milk ; known
en bok; a book ; known
en meny; a menu ; known
har; have ; known
pojken; the boy ; known
flickan; the girl ; known
barnet; the child ; known
ett brev; a letter ; known
hej; hello ; known
tack; thanks ; known
ja; yes ; known
nej; no ; known
då; then ; known
så; so ; known
mycket; much ; known
varsågod; you're welcome ; known
ursäkta mig; excuse me ; known
snälla; please ; known
välkommen; welcome ; known
god; good ; known
en natt; a night ; known
en morgon; a morning ; known
talar; speaks ; known
svenska; Swedish ; known
engelska; English ; known
inte; not ; known
älskar; loves ; known
tycker om; likes ; known
om; if ; known
en fisk; a fish ; known
en apelsin; an orange ; known
ett kaffe; a coffee ; known
ett ägg; an egg ; known
en kyckling; a chicken ; known
en dryck; a drink ; known
en middag; a dinner ; known
ett vin; a wine ; known
socker; sugar ; known
en lunch; alunch ; known
en frukost; a breakfast ; known
en ost; a cheese ; known
en frukt; a fruit ; known
pasta; pasta ; known
mat; food ; known
en öl; a beer ; known
nötkött; beef ; known
en soppa; a soup ; known
en tomat; a tomato ; known
en jordgubbe; a strawberry ; known
en citron; a lemon ; known
peppar; pepper ; known
salt; salt ; known
olja; oil ; known
en måltid; a meal ; known
ett te; a tea ; known
fläskkött; pork ; known
vegetarian; vegetarian ; known
ett kött; a meat ; known
en glass; an ice cream ; known
en juice; a juice ; known
äpplet; the apple ; known
ett glas; a glass ; known
en gaffel; a fork ; known
en kniv; a knife ; known
en sked; a spoon ; known
en kopp; a cup ; known
en tallrik; a plate ; known
en restaurang; a restaurant ; known
en kock; a chef ; known
en katt; a cat ; known
en hund; a dog ; known
en häst; a horse ; known
fågeln; the bird ; known
en fågel; a bird ; known
katten; the cat ; known
hunden; the dog ; known
hästen; the horse ; known
en björn; a bear ; known
en älg; a moose ; known
djuret; the animal ; known
björnen; the bear ; known
älgen; the moose ; known
en anka; a duck ; known
ett djur; an animal ; known
en spindel; a spider ; known
en krabba; a crab ; known
en sköldpadda; a turtle ; known
en elefant; an elephant ; known
ankan; the duck ; known
sköldpaddan; the turtle ; known
elefanten; the elephant ; known
en varg; a wolf ; known
en ren; a reindeer ; known
en mus; a mouse ; known
krabban; the crab ; known
en myra; an ant ; known
spindeln; the spider ; known
smörgåsen; the sandwich ; known
kaffet; the coffee ; known
vinet; the wine ; known
frukten; the fruit ; known
köttet; the meat ; known
teet; the tea ; known
ölet; the beer ; known
vattnet; the water ; known
apelsinen; the orange ; known
ägget; the egg ; known
