en man; a man
en kvinna; a woman
är; is
en pojke; a boy
en flicka; a girl
jag; I
han; he
hon; she
ett; one
ett äpple; an apple
och; and
äter; eats
dricker; drinks
vatten; water
mannen; the man
kvinnan; the woman
ett bröd; a bread
vi; we
läser; reads
kvinnor; women
en tidning; a newspaper
de; they
män; men
flickor; girls
pojkar; boys
du; you
en smörgås; a sandwich
ris; rice
ett barn; a child
mjölk; milk
en bok; a book
en meny; a menu
har; have
pojken; the boy
flickan; the girl
barnet; the child
ett brev; a letter
hej; hello
tack; thanks
ja; yes
nej; no
då; then
så; so
mycket; much
varsågod; you're welcome
ursäkta mig; excuse me
snälla; please
välkommen; welcome
god; good
en natt; a night
en morgon; a morning
talar; speaks
svenska; Swedish
engelska; English
inte; not
älskar; loves
tycker om; likes
om; if
en fisk; a fish
en apelsin; an orange
ett kaffe; a coffee
ett ägg; an egg
en kyckling; a chicken
en dryck; a drink
en middag; a dinner
ett vin; a wine
socker; sugar
en lunch; alunch
en frukost; a breakfast
en ost; a cheese
en frukt; a fruit
pasta; pasta
mat; food
en öl; a beer
nötkött; beef
en soppa; a soup
en tomat; a tomato
en jordgubbe; a strawberry
en citron; a lemon
peppar; pepper
salt; salt
olja; oil
en måltid; a meal
ett te; a tea
fläskkött; pork
vegetarian; vegetarian
ett kött; a meat
en glass; an ice cream
en juice; a juice
äpplet; the apple
ett glas; a glass
en gaffel; a fork
en kniv; a knife
en sked; a spoon
en kopp; a cup
en tallrik; a plate
en restaurang; a restaurant
en kock; a chef
en katt; a cat
en hund; a dog
en häst; a horse
fågeln; the bird
en fågel; a bird
katten; the cat
hunden; the dog
hästen; the horse
en björn; a bear
en älg; a moose
djuret; the animal
björnen; the bear
älgen; the moose
en anka; a duck
ett djur; an animal
en spindel; a spider
en krabba; a crab
en sköldpadda; a turtle
en elefant; an elephant
ankan; the duck
sköldpaddan; the turtle
elefanten; the elephant
en varg; a wolf
en ren; a reindeer
en mus; a mouse
krabban; the crab
en myra; an ant
spindeln; the spider
smörgåsen; the sandwich
kaffet; the coffee
vinet; the wine
frukten; the fruit
köttet; the meat
teet; the tea
ölet; the beer
vattnet; the water
apelsinen; the orange
ägget; the egg
kycklingen; the chicken
sockret; the sugar
saltet; the salt
osten; the cheese
soppan; the soup
lunchen; the lunch
frukosten; the breakfast
riset; the rice
nötköttet; the beef
maten; the food
pastan; the pasta
jordgubben; the strawberry
citronen; the lemon
pepparn; the pepper
oljan; the oil
fisken; the fish
fläskköttet; the pork
tomaten; the tomato
glassen; the ice cream
tidningen; the newspaper
boken; the book
brödet; the bread
måltiden; the meal
äpplen; apples
böcker; books
tidningar; newspapers
katter; cats
hundar; dogs
hästar; horses
flera; several
ankor; ducks
sköldpaddor; turtles
fåglar; birds
tallrikar; plates
smörgåsar; sandwiches
elefanter; elephants
äpplena; the apples
tidningarna; the newspapers
katterna; the cats
hundarna; the dogs
elefanterna; the elephants
männen; the men
kockar; chefs
kvinnorna; the women
ankorna; ducks
sköldpaddorna; the turtles
djuren; the animals
fåglarna; the birds
tallrikarna; the plates
smörgåsarna; the sandwiches
hästarna; the horses
böckerna; the books
kockarna; the chefs
breven; the letters
barnen; the children
en sko; a shoe
på; on
en klänning; a dress
en jacka; a jacket
en kjol; a skirt
en tröja; a sweater
en strumpa; a sock
byxor; pants
kläder; clothes
en kostym; a suit
en hatt; a hat
en skjorta; a shirt
en skärp; a belt
en handske; a glove
en slips; a tie
en ficka; a pocket
en knapp; a button
en halsduk; a scarf
en rock; a long coat
att se; to see
att komma; to come
att simma; to swim
att skriva; to write
att sjunga; to sing
att välja; to choose
att gå; to walk
att hoppa; to jump
att sova; to sleep
att springa; to run
att åka; to go
att regna; to rain
att höra; to hear
att sälja; to sell
att betala; to pay
att hitta; to find
att arbeta; to work
att rita; to draw
att ha; to have
att köpa; to buy
att använda; to use
att visa; to show
att leka; to play
att skratta; to laugh
att gråta; to cry
att tvätta; to wash
att lyssna; to listen
att stá; to stand
att prata; to speak
att flyga; to fly
att finnas; to exist
att ta; to take
att stötta; to support
att sitta; to sit
vit; white
rosa; pink
svart; black
orange; orange
röd; red
blå; blue
gul; yellow
färg; color
lila; purple
grå; gray
brun; brown
grön; green
gyllene; golden
färgglad; colorful
vad; what
hur; how
vem; who
vems; whose
varför; why
vart; to where
var; where
många; many
när; when
fråga; question
svar; answer
att göra; to make
ingen; no one
förstår; understands
svarar; answers
frågar; asks
vet; know
vilken; which
från; from
i; in
mellan; between
för; for
utan; without
med; with
genom; through
till; to
enligt; according to
efter; after
under; under
över; over
utanför; outside
framför; in front
bredvid; next to
mot; against
framåt; forward
före; before
bakom; behind
eller; or
men; but
helst; preferably
som; as
därför; because
eftersom; since
att; to
medan; while
innan; before
en tid; a time
en eftermiddag; an afternoon
en dag; a day
en kväll; an evening
en timme; an hour
måndag; Monday
tisdag; Tuesday
onsdag; Wednesday
fredag; Friday
en kalender; a calendar
lördag; Saturday
söndag; Sunday
ett år; a year
en vecka; a week
en ålder; an age
en helg; a weekend
torsdag; Thursday
en månad; a month
januari; January
februari; February
mars; March
april; April
ett datum; a date
maj; May
juni; June
juli; July
september; September
augusti; August
oktober; October
november; November
december; December
en vardag; a week day
en årstid; a season
vinter; winter
sommar; summer
höst; autumn
en minut; one minute
en midsommar; a midsummer
ögonblick; moment
född; born
ett årtionde; a decade
en sekund; one second
en stund; a while
ett århundrade; one century
en period; a period
tills; until
en kvart; a quarter
en generation; a generation
ett dygn; a full day
ett halvår; six months
en fest; a party
en pappa; a dad
en mamma; a mom
en dotter; a daughter
en syster; a sister
systrar; sisters
en bror; a brother
bröder; brothers
son; son
en familj; a family
en förälder; a parent
en fru; a wife
ett syskon; a sibling
ett bröllop; a wedding
en mormor; a maternal grandmother
en farfar; a paternal grandfather
en mor; a mother
en far; a father
en farmor; a paternal grandmother
en morfar; a maternal grandfather
en kusin; a cousin
en tvilling; a twin
ett barnbarn; a grandchild
söner; sons
döttrar; daughters
en student; a student
en läkare; a doctor
arbete; work
en författare; an author
en modell; a model
ett jobb; a job
personal; staff
polis; police
en tolk; an interpreter
en advokat; a lawyer
en karriär; a career
en artist; an artist
en sekreterare; a secretary
en arbetare; a worker
professionell; professional
en domare; ajudge
en brandman; a fire fighter
en pilot; a pilot
en vakt; a guard
en skådespelare; an actor
en skådespelerska; an actress
en chef; a boss
en soldat; a soldier
ett yrke; a profession
en bonde; a farmer
en arkitekt; an architect
en ingenjör; an engineer
en präst; a priest
stor; big
lång; long
trött; tired
liten; small
små; tiny
min egen; my own
öppen; open
bra; good
kall; cold
varm; warm
smutsig; dirty
vänster; left
ny; new
gammal; old
nästa; next
populär; popular
viktig; important
fin; fancy
möjlig; possible
samma; same
olika; different
lika; alike
hel; whole
nödvändig; necessary
sista; last
privat; private
personlig; personal
officiell; official
självständig; independent
konstig; weird
dålig; bad
vacker; beautiful
utmärkt; excellent
perfekt; perfect
modern; modern
full; full
tom; empty
ful; ugly
dyr; expensive
intressant; interesting
historisk; historical
religiös; religious
fel; wrong
allvarlig; serious
snygg; good loooking
riktig; TRUE
ledsen; sad
berömd; famous
omöjligt; impossible
effektiv; effective
särskild; special
vegetarisk; vegetarian
traditionell; traditional
rik; rich
rädd; afraid
vanlig; common
ovanlig; unusual
bekväm; comfortable
värdefull; valuable
tvåspråkig; bilingual
att ge; to give
att tänka; to think
att ringa; to call
att rädda; to save
att studera; to study
at hålla; to hold
att leva; to live
att titta; to look
att bjuda; to offer
att hinna; to have time to
att försöka; to try
att presentera; to present
att behöva; to need
att ligga ner; to lie down
att bo i; to live in
att få; to get
att stämma; to sue
att känna; to know
att sluta; to end
att kyssa; to kissa
att önska; to wish
att lära sig; to learn
att orka; to have the energy
att leta; to seek
att passera; to pass
att tro; to believe
att hjälpa; to help
att räcka; to be enough
att dö; to die
att följa; to follow
att tacka; to thank
attt verka; to seem
att krama; to hug
att säga; to say
att frysa; to freeze
att vila; to rest
att börja; to start
att stanna; to stay
att lita; to trust
att undra; to wonder
också; also
långt; far
nu; now
där; there
mer; more
väldigt; very
vanligt; ordinary
aldrig; never
här; here
ganska; quite
alltid; always
fortfarande; still
ofta; often
bara; only
kanske; maybe
ens; even
både; both
till och med; even
ändå; still
borta; away
sällan; rarely
igen; again
ibland; sometimes
verkligen; really
egentligen; actually
redan; already
åtminstone; at least
hit; (to) here
senare; later
snart; soon
slut; ended
tillräckligt; enough
vanligtvis; usually
dit; (to) there
för närvarande; currently
särskilt; particularly
nästan; almost
sent; late
äntligen; finally
i allmänhet; generally
faktiskt; actually
helt; completely
ungefär; approximately
precis; exactly
tydligt; clearly
var som helst; anywhere
möjligtvis; possibly
nära; close
definitivt; definitely
varken; neither
heller; either
långsamt; slowly
tillsammans; together
nödvändigtvis; necessarily
troligtvis; likely
absolut; absolutely
ett hus; a house
en hotell; a hotel
ett badrum; a bathroom
ett kök; a kitchen
Sverige; Sweden
en strand; a beach
stränder; beaches
en flygplats; an airport
en väg; a road
en kyrka; a church
en plats; a place
en stad; a city
ett land; a country
Finland; Finland
ett hem; a home
längs; along
en gata; a street
länder; countries
städer; cities
ett slott; a castle
en trädgård; a garden
en adress; an address
avdelning; department
ett rum; a room
en marknad; a market
en park; a park
ett kontor; an office
ett område; an area
en bank; a bank
en ö; an island
en sjö; a lake
en bar; a bar
ett centrum; a center
en region; a region
en bastu; a sauna
mark; ground
en dal; a valley
ett museum; a museum
en kust; a coast
insidan; the inside
en skog; a forest
en byggnad; a building
ett hörn; a corner
en gräns; a border
ett torn; a tower
ett bio; a cinema
en allé; an avenue
en egendom; a (piece of) property
en affär; a store
ett fängelse; a prison
ett palats; a palace
en huvudstad; a capital
en hamn; a port
höger; right
en fabrik; a factory
ett torg; a plaza
vänster; left
nöjesfält; amusement park
en bondgård; a farmhouse
västkust; west coast
norr; north
framsida; front
en toalett; a toilet
ett bord; a table
en säng; a bed
ett fönster; a window
en stol; a chair
en flaska; a bottle
mina möbler; my furniture
en television; a television
en dator; a computer
en radio; a radio
en spegel; a mirror
en klocka; a clock
en mobil; a cellphone
en dörr; a door
en soffa; a couch
en korg; a basket
en lampa; a lamp
en tvål; a soap
ett skrivbord; a desk
ett batteri; a battery
en flagga; a flag
ett lakan; a bedsheet
en låda; a drawer
en skärm; a screen
en rakhyvel; a razor
en plånbok; a wallet
en väska; a bag
en vägg; a wall
en tandkräm; a toothpaste
en våning; a floor (story)
ett golv; a floor
ett paraply; an umbrella
en sak; a thing
en leksak; a toy
ett tak; a ceiling
ett skåp; a cabinet
en nyckel; a key
ett hjul; a wheel
en telefon; a telephone
pengar; money
en sax; a pair of scissors
ett papper; a paper
en stekpanna; a frying pan
en pool; a pool
ett täcke; a blanket
en kudde; a pillow
en motor; an engine
en maskin; a machine
ett föremål; an object
en bit; a piece
ett snöre; a piece of string
en hylla; a shelf
en kedja; a chain
en roman; a novel
en kam; a comb
ett pulver; a powder
en duk; a cloth
en handduk; a towel
en tandborste; a toothbrush
en kastrull; a saucepan
en garderob; a wardrobe
en matta; a carpet
en gardin ; a curtain
ett tyg; a fabric
en skål; a bowl
en person; a person
en vän; a friend
en pojkvän; a boyfriend
en flickvän; a girlfriend
ett spädbarn; an infant
en fiende; an enemy
en gäst; a guest
en människa; a human being
ungdom; youth
en befolkning; a population
en kultur; a culture
en kommitté; a committee
en kille; a guy or boyfriend
en konferens; a conference
en tjej; a girl or girlfriend
en by; a village
par; couple
en dam; a lady
en medborgare; a citizen
ett folk; a people
ett förhållande; a relationship
ett offer; a victim
individ; individual
viking; viking
en kung; a king
en drottning; a queen
en prins; a prince
en prinsessa; a princess
en kronprinsessa; a crown princess
en vuxen; an adult
jag reser; I travel
en bil; a car
cykel; a bicycle
en motorcykel; a motorcycle
en resväska; a suitcase
en buss; a bus
ett tåg; a train
en båt; a boat
ett flygplan; an aircraft
att köra; to drive
en guide; a guide
en  ryggsäck; a backpack
att besöka; to visit
jag är svensk; I am Swedish
han är engelsk; he is English
den är finsk; it is Finnish
en karta; a map
ett skepp; a ship
norden; the north
ett fordon; a vehicle
en semester; a vacation
Danmark; Denmark
en resa; a trip
Norge; Norway
Skandinavien; Scandinavia
en bro; a bridge
en plan; a plan
ett äventyr; an adventure
en biljett; a ticket
finlandssvensk; Finnish-Swedish
en tunnelbana; a subway
Stockholm; Stockholm
Island; Iceland
en turist; a tourist
han är tysk; he is German
Tyskland; Germany
Amerika; America
Europa; Europe
Kina; China
utomlands; abroad
söder; South
Finländsk; Finnish
den är norsk; it is Norwegian
han är Dansk; he is Danish
busshållplats; bus stop
kinesisk; Chinese
internationell; international
amerikansk; American
europeisk; European
runt; around
svänger; swings
ett pass; a passport
allting; everything
någonting; something
varje; every
utom; except
båda; both
annan; other
andra; others
annat; something other
sådan; such
vem som helst; whomever
varandra; each other
både och; both
ingendera; neither
antingen eller; either or
förra året; last year
året; year before last
själv; self
två; two
tre; three
fyra; four
fem; five
nummer; number
telefonnummer; phone number
fler; more
sex; six
sju; seven
åtta; eight
nio; nine
tio; ten
gånger; times
mindre; less
första; the first
miljon; million
tredje; third
mängd; amount
antal; quantity
stycken; pieces
siffra; figure or number
elva; eleven
tolv; twelve
tretton; thirteen
fjorton; fourteen
femton; fifteen
sexton; sixteen
sjutton; seventeen
summa; total sum
arton; eighteen
nitton; nineteen
tjugo; twenty
trettio; thirty
fyrtio; forty
femtio; fifty
sextio; sixty
halv; half
sjuttio; seventy
åttio; eighty
nittio; ninety
ett hundra; a hundred
ett tusen; one thousand
att kosta; to cost
krona; crown
per; per
fjärde; fourth
meter; meter
tjugofyra; twenty four
värd; worth
tjugoett; twenty one
